Name,Price,Rate,Rating_count,Details,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Dolce & Gabanna L'imperatrice 3 Pour Femme,199 ,5,6 ,"['Dolce&Gabbana', 'Women', 'Perfume', 'Romantic', 'Floral', '100 ml', '2009', 'Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree', 'Eau de Toilette', 'Pink pepper, kiwi, rhubarb', 'jasmine, cyclamen, watermelon', 'musk, sandalwood, lemon trees.']",Dolce&Gabbana,Women,Perfume,Romantic,Floral,100_ml,2009,"Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree",Eau de Toilette,"Pink pepper, kiwi, rhubarb","jasmine, cyclamen, watermelon","musk, sandalwood, lemon trees."
Roberto Cavalli Paradiso,169 ,4.95,17 ,"['Roberto Cavalli', 'Women', 'Perfume', 'Charismatic', 'Woody', '50 ml', '2015', 'Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.', 'Eau de Parfum', 'Citruses , Mandarin , Bergamot', 'Jasmine', 'Cypress, Parasol pine, Pink laurel']",Roberto Cavalli,Women,Perfume,Charismatic,Woody,50_ml,2015,"Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,"Cypress, Parasol pine, Pink laurel"
Yves Saint Laurent Libre,383 ,5,3 ,"['Yves Saint Laurent', 'Women', 'Perfume', 'Romantic', 'Floral', '90 ml', '2019', 'Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris', 'Eau de Parfum', 'Mandarin Orange, Lavendar, Black Currant, Petitgrain', 'Jasmine, Orange Blossom', 'Vanilla, Cedar, Musk, Ambergris']",Yves Saint Laurent,Women,Perfume,Romantic,Floral,90_ml,2019,"Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris",Eau de Parfum,"Mandarin Orange, Lavendar, Black Currant, Petitgrain","Jasmine, Orange Blossom","Vanilla, Cedar, Musk, Ambergris"
Mancera Red Tobacco,499 ,4.38,8 ,"['Mancera', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '120 ml', '2017', 'Saffron, Cinnamon, Incense, Nutmeg, White Peach, Green Apple & Nepalese Oud, Leaves of Patchouli, delicate Jasmine, Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods, White Musk.', 'Eau de Parfum', 'Saffron, Cinnamon, Incense, Nutmeg, White peach, Green apple, Nepalese', 'Patchouli, Jasmine', 'Tobacco, Amber, Woody notes, Vetiver, Vanilla, White musk']",Mancera,Unisex,Perfume,Charismatic,Oriental,120_ml,2017,"Saffron, Cinnamon, Incense, Nutmeg, White Peach, Green Apple & Nepalese Oud, Leaves of Patchouli, delicate Jasmine, Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods, White Musk.",Eau de Parfum,"Saffron, Cinnamon, Incense, Nutmeg, White peach, Green apple, Nepalese","Patchouli, Jasmine","Tobacco, Amber, Woody notes, Vetiver, Vanilla, White musk"
Giorgio Armani Emporio Armani Stronger With You Intensely,375 ,5,3 ,"['Giorgio Armani', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2019', 'Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber', 'Eau de Parfum', 'Pink pepper, Juniper, Violet leaf', 'Lavender, Sage, Toffee, Cinnamon', 'Tonka bean, Suede, Amber, Vanilla']",Giorgio Armani,Men,Perfume,Charismatic,Aromatic,100_ml,2019,"Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber",Eau de Parfum,"Pink pepper, Juniper, Violet leaf","Lavender, Sage, Toffee, Cinnamon","Tonka bean, Suede, Amber, Vanilla"
Versace Eros Pour Femme EDP,229 ,4.79,7 ,"['Versace', 'Women', 'Perfume', 'Sophisticated', 'Woody', '100 ml', '2014', 'sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.', 'Eau de Parfum', 'Sicilian lemon, Calabrian bergamot, Pomegranate', 'lemon, sambac jasmine, peony', 'Sandalwood, Ambrox, Musk,woods']",Versace,Women,Perfume,Sophisticated,Woody,100_ml,2014,"sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.",Eau de Parfum,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony","Sandalwood, Ambrox, Musk,woods"
Roberto Cavalli Florence,167 ,4.83,5 ,"['Roberto Cavalli', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2016', 'Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber', 'Eau de Parfum']",Roberto Cavalli,Women,Perfume,Romantic,Floral,50_ml,2016,"Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber",Eau de Parfum,"Mandarin, Orange","Black Currant, Orange Blossom, Grapefruit Blossom"," Patchouli, Musk, Amber"
Xerjoff Casamorati La Tosca,1403 ,No-Rate,0,"['Xerjoff', 'Women', 'Perfume', 'Feminine', 'Floral', '100 ml', '2015', 'Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla', 'Eau de Parfum']",Xerjoff,Women,Perfume,Feminine,Floral,100_ml,2015,"Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla",Eau de Parfum,"Violet Leaf, Eucalyptus","Musk, Patchouli, Green Mandarin","Italian Lemon, Rose, Amber, Vanilla"
Chopard Oud Malaki,295 ,4.88,5 ,"['Chopard', 'Unisex', 'Perfume', 'Glamorous', 'Oriental', '80 ml', '2012', 'Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood', 'Eau de Parfum', 'Grapefruit, lavender, artemisia', 'Leather, spices, tobacco', 'Amber, dark woods, oud']",Chopard,Unisex,Perfume,Glamorous,Oriental,80_ml,2012,"Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood",Eau de Parfum,"Grapefruit, lavender, artemisia","Leather, spices, tobacco","Amber, dark woods, oud"
Memo Paris Marfa,1064 ,No-Rate,0,"['Memo Paris', 'Unisex', 'Perfume', 'Charismatic', 'Floral Oriental', '75 ml', '2016', 'Neroli, Mandarin, Ylang Ylang, Agave, Tuberose, Vanilla, White Musk, Cedarwood, Sandalwood', 'Eau de Parfum', 'Neroli, Mandarin', 'Ylang Ylang, Agave, Tuberose', 'Vanilla, white musk, cedar wood, sandalwood']",Memo Paris,Unisex,Perfume,Charismatic,FloralOriental,75_ml,2016,"Neroli, Mandarin, Ylang Ylang, Agave, Tuberose, Vanilla, White Musk, Cedarwood, Sandalwood",Eau de Parfum,"Neroli, Mandarin","Ylang Ylang, Agave, Tuberose","Vanilla, white musk, cedar wood, sandalwood"
